Log initialized at: 2025-03-14 16:22:36
Part 3 : Test for OpenMP + MPI version + async io
Nombre de threads OpenMP : 1
Temps pour affichage : 0.00727727 secondes
Temps pour affichage : 0.00230692 secondes
Temps pour affichage : 0.00697201 secondes
Temps pour affichage : 0.00327837 secondes
Temps pour affichage : 0.00854849 secondes
Temps pour affichage : 0.00439322 secondes
Temps pour affichage : 0.00378693 secondes
Temps pour affichage : 0.00298092 secondes
Temps pour affichage : 0.0032404 secondes
Temps pour affichage : 0.00313779 secondes
Temps pour affichage : 0.00367243 secondes
Temps pour affichage : 0.0031678 secondes
Temps pour affichage : 0.00413084 secondes
Temps pour affichage : 0.00352514 secondes
Temps pour affichage : 0.00312802 secondes
Temps pour affichage : 0.0028221 secondes
Temps pour affichage : 0.00331472 secondes
Temps pour affichage : 0.00349671 secondes
Temps pour affichage : 0.0222725 secondes
Temps pour affichage : 0.00704664 secondes
Temps pour affichage : 0.00403554 secondes
Temps pour affichage : 0.00649061 secondes
Temps pour affichage : 0.00252842 secondes
Temps pour affichage : 0.00372378 secondes
Temps pour affichage : 0.0032846 secondes
Temps pour affichage : 0.00297229 secondes
Temps pour affichage : 0.00247693 secondes
Temps pour affichage : 0.002547 secondes
Temps pour affichage : 0.0025737 secondes
Temps pour affichage : 0.00295224 secondes
Temps pour affichage : 0.0029861 secondes
Temps pour affichage : 0.0033041 secondes
Temps pour affichage : 0.00309559 secondes
Temps pour affichage : 0.00294587 secondes
Temps pour affichage : 0.00277503 secondes
Temps pour affichage : 0.0174008 secondes
Temps pour affichage : 0.00473358 secondes
Temps pour affichage : 0.00454178 secondes
Temps pour affichage : 0.00249079 secondes
Temps pour affichage : 0.00245094 secondes
Temps pour affichage : 0.00239492 secondes
Temps pour affichage : 0.00257942 secondes
Temps pour affichage : 0.00263998 secondes
Temps pour affichage : 0.00392396 secondes
Temps pour affichage : 0.00248877 secondes
Temps pour affichage : 0.00282408 secondes
Temps pour affichage : 0.012075 secondes
Temps pour affichage : 0.0117839 secondes
Temps pour affichage : 0.00323765 secondes
Temps pour affichage : 0.00301201 secondes
Temps pour affichage : 0.00296818 secondes
Temps pour affichage : 0.00453979 secondes
Temps pour affichage : 0.00300289 secondes
Temps pour affichage : 0.00326535 secondes
Temps pour affichage : 0.003717 secondes
Temps pour affichage : 0.00569282 secondes
Temps pour affichage : 0.0032346 secondes
Temps pour affichage : 0.00374995 secondes
Temps pour affichage : 0.00406605 secondes
