Log initialized at: 2025-03-14 16:27:16
Part 3 : Test for OpenMP + MPI version + async io
Nombre de threads OpenMP : 8
Temps pour affichage : 0.00816202 secondes
Temps pour affichage : 0.00256902 secondes
Temps pour affichage : 0.00294953 secondes
Temps pour affichage : 0.00713286 secondes
Temps pour affichage : 0.00302695 secondes
Temps pour affichage : 0.00241954 secondes
Temps pour affichage : 0.00242078 secondes
Temps pour affichage : 0.00296671 secondes
Temps pour affichage : 0.00263211 secondes
Temps pour affichage : 0.00258854 secondes
Temps pour affichage : 0.00542176 secondes
Temps pour affichage : 0.00354542 secondes
Temps pour affichage : 0.00326008 secondes
Temps pour affichage : 0.00332751 secondes
Temps pour affichage : 0.00325716 secondes
Temps pour affichage : 0.0033391 secondes
Temps pour affichage : 0.00363255 secondes
Temps pour affichage : 0.00280688 secondes
Temps pour affichage : 0.00314561 secondes
Temps pour affichage : 0.00794126 secondes
Temps pour affichage : 0.00267758 secondes
Temps pour affichage : 0.00259883 secondes
Temps pour affichage : 0.00266085 secondes
Temps pour affichage : 0.00260867 secondes
Temps pour affichage : 0.00292421 secondes
Temps pour affichage : 0.00286082 secondes
Temps pour affichage : 0.00284524 secondes
Temps pour affichage : 0.00256822 secondes
Temps pour affichage : 0.00288865 secondes
Temps pour affichage : 0.00282723 secondes
Temps pour affichage : 0.00633147 secondes
Temps pour affichage : 0.00672942 secondes
Temps pour affichage : 0.00291896 secondes
Temps pour affichage : 0.0069805 secondes
Temps pour affichage : 0.00347018 secondes
Temps pour affichage : 0.00639117 secondes
Temps pour affichage : 0.00269615 secondes
Temps pour affichage : 0.00239534 secondes
Temps pour affichage : 0.00318235 secondes
Temps pour affichage : 0.00259494 secondes
Temps pour affichage : 0.00375323 secondes
Temps pour affichage : 0.00685482 secondes
Temps pour affichage : 0.00277 secondes
Temps pour affichage : 0.00285745 secondes
Temps pour affichage : 0.00686105 secondes
Temps pour affichage : 0.00672829 secondes
Temps pour affichage : 0.00498776 secondes
Temps pour affichage : 0.00479142 secondes
Temps pour affichage : 0.00344722 secondes
Temps pour affichage : 0.0384575 secondes
Temps pour affichage : 0.00737976 secondes
Temps pour affichage : 0.00421778 secondes
Temps pour affichage : 0.00511631 secondes
Temps pour affichage : 0.0080055 secondes
Temps pour affichage : 0.00410949 secondes
Temps pour affichage : 0.00431429 secondes
Temps pour affichage : 0.00282651 secondes
Temps pour affichage : 0.00293166 secondes
Temps pour affichage : 0.00619464 secondes
Temps pour affichage : 0.00491515 secondes
Temps pour affichage : 0.00295491 secondes
Temps pour affichage : 0.00357038 secondes
Temps pour affichage : 0.0048692 secondes
Temps pour affichage : 0.00312629 secondes
Temps pour affichage : 0.00405147 secondes
Temps pour affichage : 0.00308796 secondes
Temps pour affichage : 0.00765218 secondes
Temps pour affichage : 0.00375184 secondes
