Log initialized at: 2025-03-14 16:26:01
Part 3 : Test for OpenMP + MPI version + async io
Nombre de threads OpenMP : 6
Temps pour affichage : 0.00727677 secondes
Temps pour affichage : 0.00247439 secondes
Temps pour affichage : 0.00350949 secondes
Temps pour affichage : 0.00250247 secondes
Temps pour affichage : 0.00276436 secondes
Temps pour affichage : 0.00672473 secondes
Temps pour affichage : 0.00286671 secondes
Temps pour affichage : 0.00951637 secondes
Temps pour affichage : 0.00559313 secondes
Temps pour affichage : 0.00627488 secondes
Temps pour affichage : 0.00418355 secondes
Temps pour affichage : 0.00350083 secondes
Temps pour affichage : 0.00411625 secondes
Temps pour affichage : 0.00360875 secondes
Temps pour affichage : 0.00371675 secondes
Temps pour affichage : 0.00384511 secondes
Temps pour affichage : 0.00322988 secondes
Temps pour affichage : 0.00401931 secondes
Temps pour affichage : 0.00335459 secondes
Temps pour affichage : 0.00290933 secondes
Temps pour affichage : 0.00306484 secondes
Temps pour affichage : 0.00318135 secondes
Temps pour affichage : 0.00384486 secondes
Temps pour affichage : 0.00268067 secondes
Temps pour affichage : 0.0030211 secondes
Temps pour affichage : 0.00313363 secondes
Temps pour affichage : 0.00313669 secondes
Temps pour affichage : 0.00298625 secondes
Temps pour affichage : 0.00269809 secondes
Temps pour affichage : 0.00297962 secondes
Temps pour affichage : 0.00335272 secondes
Temps pour affichage : 0.00337148 secondes
Temps pour affichage : 0.00319864 secondes
Temps pour affichage : 0.00411973 secondes
Temps pour affichage : 0.00304129 secondes
Temps pour affichage : 0.00273527 secondes
Temps pour affichage : 0.00306294 secondes
Temps pour affichage : 0.00716569 secondes
Temps pour affichage : 0.00263735 secondes
Temps pour affichage : 0.00254335 secondes
Temps pour affichage : 0.00270751 secondes
Temps pour affichage : 0.0041501 secondes
Temps pour affichage : 0.00331594 secondes
Temps pour affichage : 0.00294708 secondes
Temps pour affichage : 0.00290727 secondes
Temps pour affichage : 0.00282021 secondes
Temps pour affichage : 0.00276222 secondes
Temps pour affichage : 0.00283634 secondes
Temps pour affichage : 0.00292649 secondes
Temps pour affichage : 0.00300061 secondes
Temps pour affichage : 0.00291309 secondes
Temps pour affichage : 0.00285898 secondes
Temps pour affichage : 0.00299582 secondes
Temps pour affichage : 0.00299144 secondes
Temps pour affichage : 0.00301377 secondes
Temps pour affichage : 0.00299936 secondes
Temps pour affichage : 0.0031976 secondes
Temps pour affichage : 0.00311903 secondes
Temps pour affichage : 0.00312527 secondes
Temps pour affichage : 0.0032268 secondes
Temps pour affichage : 0.00360274 secondes
Temps pour affichage : 0.00346446 secondes
