Log initialized at: 2025-03-14 12:37:03
Temps pour affichage : 0.0253549 secondes
Temps pour affichage : 0.0152729 secondes
Temps pour affichage : 0.0178008 secondes
Temps pour affichage : 0.016071 secondes
Temps pour affichage : 0.0154006 secondes
Temps pour affichage : 0.0159266 secondes
Temps pour affichage : 0.025686 secondes
Temps pour affichage : 0.0203295 secondes
Temps pour affichage : 0.020118 secondes
Temps pour affichage : 0.0256958 secondes
Temps pour affichage : 0.0256687 secondes
Temps pour affichage : 0.0146593 secondes
Temps pour affichage : 0.0154624 secondes
Temps pour affichage : 0.0178028 secondes
Temps pour affichage : 0.0224427 secondes
Temps pour affichage : 0.0140694 secondes
Temps pour affichage : 0.0146074 secondes
Temps pour affichage : 0.0156265 secondes
Temps pour affichage : 0.0131964 secondes
Temps pour affichage : 0.0223157 secondes
Temps pour affichage : 0.0136859 secondes
Temps pour affichage : 0.0180873 secondes
Temps pour affichage : 0.0154823 secondes
Temps pour affichage : 0.0181965 secondes
Temps pour affichage : 0.0141436 secondes
Temps pour affichage : 0.0155267 secondes
Temps pour affichage : 0.0153575 secondes
Temps pour affichage : 0.0155405 secondes
Temps pour affichage : 0.0225007 secondes
Temps pour affichage : 0.0181643 secondes
Temps pour affichage : 0.0163428 secondes
Temps pour affichage : 0.0152772 secondes
Temps pour affichage : 0.0144149 secondes
Temps pour affichage : 0.0132332 secondes
Temps pour affichage : 0.0216273 secondes
Temps pour affichage : 0.0144437 secondes
Temps pour affichage : 0.0240083 secondes
Temps pour affichage : 0.019334 secondes
Temps pour affichage : 0.0217209 secondes
Temps pour affichage : 0.0145379 secondes
Temps pour affichage : 0.0145638 secondes
Temps pour affichage : 0.0222109 secondes
Temps pour affichage : 0.0198358 secondes
Temps pour affichage : 0.02342 secondes
Temps pour affichage : 0.01743 secondes
Temps pour affichage : 0.0253112 secondes
Temps pour affichage : 0.0238549 secondes
Temps pour affichage : 0.017951 secondes
Temps pour affichage : 0.0223357 secondes
Temps pour affichage : 0.0173389 secondes
Temps pour affichage : 0.0159574 secondes
Temps pour affichage : 0.0171633 secondes
Temps pour affichage : 0.0159956 secondes
Temps pour affichage : 0.0150964 secondes
Temps pour affichage : 0.0131944 secondes
Temps pour affichage : 0.0160778 secondes
Temps pour affichage : 0.013819 secondes
Temps pour affichage : 0.0137309 secondes
Temps pour affichage : 0.0134397 secondes
Temps pour affichage : 0.0187219 secondes
Temps pour affichage : 0.0182009 secondes
Temps pour affichage : 0.0317034 secondes
Temps pour affichage : 0.0201794 secondes
Temps pour affichage : 0.0220551 secondes
Temps pour affichage : 0.0220986 secondes
Temps pour affichage : 0.0142181 secondes
Temps pour affichage : 0.0227388 secondes
Temps pour affichage : 0.0167304 secondes
Temps pour affichage : 0.014752 secondes
Temps pour affichage : 0.0134179 secondes
Temps pour affichage : 0.0140885 secondes
Temps pour affichage : 0.0155604 secondes
Temps pour affichage : 0.0155089 secondes
Temps pour affichage : 0.0154103 secondes
Temps pour affichage : 0.0124476 secondes
Temps pour affichage : 0.0133807 secondes
Temps pour affichage : 0.0141134 secondes
Temps pour affichage : 0.0173497 secondes
Temps pour affichage : 0.0154492 secondes
Temps pour affichage : 0.014063 secondes
Temps pour affichage : 0.0139481 secondes
Temps pour affichage : 0.0144676 secondes
Temps pour affichage : 0.0128879 secondes
Temps pour affichage : 0.0140536 secondes
Temps pour affichage : 0.0148967 secondes
Temps pour affichage : 0.0139046 secondes
Temps pour affichage : 0.0132822 secondes
Temps pour affichage : 0.0135432 secondes
Temps pour affichage : 0.0149107 secondes
Temps pour affichage : 0.0142034 secondes
Temps pour affichage : 0.0124975 secondes
Temps pour affichage : 0.0146553 secondes
Temps pour affichage : 0.0136868 secondes
Temps pour affichage : 0.0136913 secondes
Temps pour affichage : 0.0144537 secondes
Temps pour affichage : 0.0461654 secondes
Temps pour affichage : 0.0216833 secondes
Temps pour affichage : 0.0192458 secondes
Temps pour affichage : 0.0159983 secondes
Temps pour affichage : 0.0134189 secondes
Temps pour affichage : 0.0139512 secondes
Temps pour affichage : 0.0142454 secondes
Temps pour affichage : 0.0214032 secondes
Temps pour affichage : 0.0136875 secondes
Temps pour affichage : 0.016294 secondes
Temps pour affichage : 0.0148272 secondes
Temps pour affichage : 0.0136224 secondes
Temps pour affichage : 0.0166766 secondes
Temps pour affichage : 0.0162375 secondes
Temps pour affichage : 0.0145666 secondes
Temps pour affichage : 0.0139859 secondes
Temps pour affichage : 0.0141924 secondes
Temps pour affichage : 0.0154585 secondes
Temps pour affichage : 0.0403107 secondes
Temps pour affichage : 0.0148204 secondes
Temps pour affichage : 0.0141917 secondes
