Log initialized at: 2025-03-14 16:23:38
Part 3 : Test for OpenMP + MPI version + async io
Nombre de threads OpenMP : 2
Temps pour affichage : 0.00785843 secondes
Temps pour affichage : 0.00277176 secondes
Temps pour affichage : 0.00296973 secondes
Temps pour affichage : 0.00262636 secondes
Temps pour affichage : 0.00270272 secondes
Temps pour affichage : 0.00262387 secondes
Temps pour affichage : 0.00255959 secondes
Temps pour affichage : 0.00252021 secondes
Temps pour affichage : 0.00251184 secondes
Temps pour affichage : 0.00293274 secondes
Temps pour affichage : 0.00276244 secondes
Temps pour affichage : 0.00274883 secondes
Temps pour affichage : 0.00334647 secondes
Temps pour affichage : 0.0037539 secondes
Temps pour affichage : 0.00381004 secondes
Temps pour affichage : 0.00320991 secondes
Temps pour affichage : 0.00919836 secondes
Temps pour affichage : 0.00399169 secondes
Temps pour affichage : 0.00338145 secondes
Temps pour affichage : 0.00295636 secondes
Temps pour affichage : 0.00335978 secondes
Temps pour affichage : 0.0028297 secondes
Temps pour affichage : 0.00302611 secondes
Temps pour affichage : 0.00632127 secondes
Temps pour affichage : 0.00404257 secondes
Temps pour affichage : 0.00727521 secondes
Temps pour affichage : 0.00332379 secondes
Temps pour affichage : 0.00714271 secondes
Temps pour affichage : 0.00695662 secondes
Temps pour affichage : 0.00452778 secondes
Temps pour affichage : 0.00255232 secondes
Temps pour affichage : 0.00270453 secondes
Temps pour affichage : 0.00240746 secondes
Temps pour affichage : 0.00292694 secondes
Temps pour affichage : 0.00276517 secondes
Temps pour affichage : 0.00275069 secondes
Temps pour affichage : 0.00262446 secondes
Temps pour affichage : 0.00244038 secondes
Temps pour affichage : 0.00244573 secondes
Temps pour affichage : 0.00253766 secondes
Temps pour affichage : 0.00337273 secondes
Temps pour affichage : 0.00361507 secondes
Temps pour affichage : 0.00298007 secondes
Temps pour affichage : 0.00245971 secondes
Temps pour affichage : 0.0027518 secondes
Temps pour affichage : 0.00488511 secondes
Temps pour affichage : 0.00244777 secondes
Temps pour affichage : 0.0024156 secondes
Temps pour affichage : 0.00634399 secondes
Temps pour affichage : 0.00294352 secondes
Temps pour affichage : 0.00324594 secondes
Temps pour affichage : 0.00386701 secondes
Temps pour affichage : 0.00356268 secondes
Temps pour affichage : 0.00740022 secondes
Temps pour affichage : 0.00314341 secondes
Temps pour affichage : 0.00630741 secondes
Temps pour affichage : 0.00719295 secondes
Temps pour affichage : 0.00646735 secondes
Temps pour affichage : 0.0055384 secondes
Temps pour affichage : 0.00584274 secondes
Temps pour affichage : 0.00783635 secondes
Temps pour affichage : 0.00390714 secondes
Temps pour affichage : 0.00416891 secondes
Temps pour affichage : 0.00397381 secondes
Temps pour affichage : 0.00540295 secondes
Temps pour affichage : 0.00540249 secondes
Temps pour affichage : 0.00542757 secondes
Temps pour affichage : 0.00526446 secondes
Temps pour affichage : 0.00556561 secondes
Temps pour affichage : 0.00447933 secondes
Temps pour affichage : 0.00577086 secondes
Temps pour affichage : 0.00484787 secondes
Temps pour affichage : 0.00465925 secondes
Temps pour affichage : 0.00816559 secondes
Temps pour affichage : 0.00460353 secondes
Temps pour affichage : 0.00496376 secondes
Temps pour affichage : 0.00467094 secondes
Temps pour affichage : 0.00452319 secondes
Temps pour affichage : 0.0043516 secondes
Temps pour affichage : 0.00470906 secondes
Temps pour affichage : 0.00482068 secondes
Temps pour affichage : 0.00493008 secondes
Temps pour affichage : 0.0043747 secondes
Temps pour affichage : 0.00422043 secondes
Temps pour affichage : 0.00424282 secondes
Temps pour affichage : 0.00429882 secondes
Temps pour affichage : 0.00484675 secondes
Temps pour affichage : 0.0047418 secondes
Temps pour affichage : 0.0044583 secondes
Temps pour affichage : 0.00448977 secondes
Temps pour affichage : 0.00676817 secondes
Temps pour affichage : 0.00787652 secondes
Temps pour affichage : 0.00478015 secondes
Temps pour affichage : 0.00722695 secondes
Temps pour affichage : 0.00673774 secondes
Temps pour affichage : 0.00486119 secondes
Temps pour affichage : 0.00482849 secondes
Temps pour affichage : 0.00515549 secondes
Temps pour affichage : 0.00610995 secondes
Temps pour affichage : 0.0064004 secondes
Temps pour affichage : 0.007076 secondes
Temps pour affichage : 0.00646522 secondes
Temps pour affichage : 0.0176979 secondes
Temps pour affichage : 0.0050814 secondes
Temps pour affichage : 0.00506023 secondes
Temps pour affichage : 0.0067548 secondes
Temps pour affichage : 0.00655985 secondes
Temps pour affichage : 0.0111173 secondes
Temps pour affichage : 0.0184301 secondes
Temps pour affichage : 0.0121162 secondes
Temps pour affichage : 0.00571445 secondes
Temps pour affichage : 0.0111618 secondes
Temps pour affichage : 0.00592735 secondes
Temps pour affichage : 0.00880892 secondes
Temps pour affichage : 0.0174751 secondes
Temps pour affichage : 0.00640103 secondes
Temps pour affichage : 0.00628841 secondes
Temps pour affichage : 0.00682508 secondes
Temps pour affichage : 0.00925619 secondes
Temps pour affichage : 0.00701268 secondes
Temps pour affichage : 0.00656261 secondes
Temps pour affichage : 0.00729216 secondes
Temps pour affichage : 0.00724146 secondes
Temps pour affichage : 0.00702947 secondes
Temps pour affichage : 0.00767698 secondes
Temps pour affichage : 0.00703367 secondes
Temps pour affichage : 0.00837174 secondes
Temps pour affichage : 0.00794141 secondes
Temps pour affichage : 0.00727186 secondes
Temps pour affichage : 0.007482 secondes
Temps pour affichage : 0.00970288 secondes
Temps pour affichage : 0.00721933 secondes
Temps pour affichage : 0.00779337 secondes
Temps pour affichage : 0.00804098 secondes
Temps pour affichage : 0.00768174 secondes
Temps pour affichage : 0.00793788 secondes
Temps pour affichage : 0.00844648 secondes
Temps pour affichage : 0.0075332 secondes
Temps pour affichage : 0.00789312 secondes
Temps pour affichage : 0.00786568 secondes
Temps pour affichage : 0.00807849 secondes
Temps pour affichage : 0.00891623 secondes
Temps pour affichage : 0.00853659 secondes
Temps pour affichage : 0.00784439 secondes
Temps pour affichage : 0.00774343 secondes
Temps pour affichage : 0.00745096 secondes
Temps pour affichage : 0.00778093 secondes
Temps pour affichage : 0.00825963 secondes
Temps pour affichage : 0.00813117 secondes
Temps pour affichage : 0.00815722 secondes
Temps pour affichage : 0.00801885 secondes
Temps pour affichage : 0.00848392 secondes
Temps pour affichage : 0.00819925 secondes
Temps pour affichage : 0.0079684 secondes
Temps pour affichage : 0.00841765 secondes
Temps pour affichage : 0.00918843 secondes
Temps pour affichage : 0.00907406 secondes
Temps pour affichage : 0.00842788 secondes
Temps pour affichage : 0.00915805 secondes
Temps pour affichage : 0.00905203 secondes
Temps pour affichage : 0.00919379 secondes
Temps pour affichage : 0.00858181 secondes
Temps pour affichage : 0.00929143 secondes
Temps pour affichage : 0.00779859 secondes
Temps pour affichage : 0.00866033 secondes
Temps pour affichage : 0.00784725 secondes
Temps pour affichage : 0.00839777 secondes
Temps pour affichage : 0.00810532 secondes
Temps pour affichage : 0.00804759 secondes
Temps pour affichage : 0.00810541 secondes
Temps pour affichage : 0.00816064 secondes
Temps pour affichage : 0.00768298 secondes
Temps pour affichage : 0.00759947 secondes
Temps pour affichage : 0.0078565 secondes
Temps pour affichage : 0.00762133 secondes
Temps pour affichage : 0.00776571 secondes
Temps pour affichage : 0.00797084 secondes
Temps pour affichage : 0.0079448 secondes
Temps pour affichage : 0.00794183 secondes
Temps pour affichage : 0.00763738 secondes
Temps pour affichage : 0.0079583 secondes
Temps pour affichage : 0.00768105 secondes
Temps pour affichage : 0.00738898 secondes
Temps pour affichage : 0.00777355 secondes
Temps pour affichage : 0.00753405 secondes
Temps pour affichage : 0.00757423 secondes
Temps pour affichage : 0.0813893 secondes
Temps pour affichage : 0.00847652 secondes
Temps pour affichage : 0.00810315 secondes
Temps pour affichage : 0.00762546 secondes
Temps pour affichage : 0.00799782 secondes
Temps pour affichage : 0.00757212 secondes
Temps pour affichage : 0.0120018 secondes
Temps pour affichage : 0.00947155 secondes
Temps pour affichage : 0.00786715 secondes
Temps pour affichage : 0.00804335 secondes
Temps pour affichage : 0.00864224 secondes
Temps pour affichage : 0.00887028 secondes
Temps pour affichage : 0.007806 secondes
Temps pour affichage : 0.00749416 secondes
Temps pour affichage : 0.00811353 secondes
Temps pour affichage : 0.00787166 secondes
Temps pour affichage : 0.00802166 secondes
Temps pour affichage : 0.0078374 secondes
Temps pour affichage : 0.00837361 secondes
Temps pour affichage : 0.00756661 secondes
Temps pour affichage : 0.00829471 secondes
Temps pour affichage : 0.00808581 secondes
Temps pour affichage : 0.00772565 secondes
Temps pour affichage : 0.00770684 secondes
