Log initialized at: 2025-03-14 12:58:16
Test for MPI with multiple compute processes
Temps pour une étape (distribué): 3.68e-05 secondes
Temps pour une étape (distribué): 3.6241e-05 secondes
Temps pour une étape (distribué): 0.0246236 secondes
Temps pour une étape (distribué): 4.1771e-05 secondesTemps pour une étape (distribué): 0.0257182 secondes
Temps pour une étape (distribué): 0.0251523 secondes
TemTemps pour une étape (distribué): 3.9097e-05 seconTemps pour une étape (distribué): 0.0247261 secondes
Temps pour une étape (distribué): 0.0243048 secondes
Temps pour une étape (distribué): 0.0250951 secondes
Temps pour une étape (distribué): 0.0260825 secondes
Temps pour une étape (distribué): 0.0265936 secondes
Temps pour une étape (distribué): 0.0265412 secondes
Temps pour une étape (distribué): 0.025346 secondes
Temps pour une étape (distribué): 0.0305646 secondes
Temps pour une étape (distribué): 0.0252248 secondes
Temps pour une étape (distribué): 0.0264717 secondes
Temps pour une étape (distribué): 0.0243499 secondes
Temps pour une étape (distribué): 0.0241871 secondes
Temps pour une étape (distribué): 0.0239599 secondes
Temps pour une étape (distribué): 0.0279619 secondes
Temps pour une étape (distribué): 0.0245927 secondes
Temps pour une étape (distribué): 0.0244634 secondes
Temps pour une étape (distribué): 0.0240938 secondes
Temps pour une étape (distribué): 0.0244361 secondes
Temps pour une étape (distribué): 0.0239223 secondes
Temps pour une étape (distribué): 0.0250087 secondes
Temps pour une étape (distribué): 0.0283995 secondes
Temps pour une étape (distribué): 0.0248653 secondes
Temps pour une étape (distribué): 0.0256012 secondes
Temps pour une étape (distribué): 0.0255049 secondes
Temps pour une étape (distribué): 0.0251119 secondes
Temps pour une étape (distribué): 0.0249562 secondes
Temps pour une étape (distribué): 0.0245816 secondes
Temps pour une étape (distribué): 0.0261575 secondes
Temps pour une étape (distribué): 0.0255157 secondes
Temps pour une étape (distribué): 0.025317 secondes
Temps pour une étape (distribué): 0.02464 secondes
Temps pour une étape (distribué): 0.0245593 secondes
Temps pour une étape (distribué): 0.0250497 secondes
Temps pour une étape (distribué): 0.0256633 secondes
Temps pour une étape (distribué): 0.0255557 secondes
Temps pour une étape (distribué): 0.0256193 secondes
Temps pour une étape (distribué): 0.0245946 secondes
Temps pour une étape (distribué): 0.0248159 secondes
Temps pour une étape (distribué): 0.0250201 secondes
Temps pour une étape (distribué): 0.0262678 secondes
