Log initialized at: 2025-03-08 21:32:01
Test for MPI with 2 threads
Temps pour une étape : 1.2045e-05 secondes
Temps pour une étape : 9.715e-06 secondes
Temps pour une étape : 1.3892e-05 secondes
Temps pour une étape : 1.776e-05 secondes
Temps pour une étape : 2.2283e-05 secondes
Temps pour une étape : 1.8043e-05 secondes
Temps pour une étape : 2.2411e-05 secondes
Temps pour une étape : 3.037e-05 secondes
Temps pour une étape : 3.3383e-05 secondes
Temps pour une étape : 3.4641e-05 secondes
Temps pour une étape : 3.82e-05 secondes
Temps pour une étape : 5.2294e-05 secondes
Temps pour une étape : 6.7712e-05 secondes
Temps pour une étape : 6.3185e-05 secondes
Temps pour une étape : 7.0374e-05 secondes
Temps pour une étape : 8.6781e-05 secondes
Temps pour une étape : 9.4202e-05 secondes
Temps pour une étape : 0.000118151 secondes
Temps pour une étape : 9.9917e-05 secondes
Temps pour une étape : 0.000102042 secondes
Temps pour une étape : 0.000127316 secondes
Temps pour une étape : 0.00014766 secondes
Temps pour une étape : 0.000141052 secondes
Temps pour une étape : 0.000172813 secondes
Temps pour une étape : 0.000152389 secondes
Temps pour une étape : 0.000239982 secondes
Temps pour une étape : 0.000194941 secondes
Temps pour une étape : 0.000212906 secondes
Temps pour une étape : 0.000235895 secondes
Temps pour une étape : 0.000249811 secondes
Temps pour une étape : 0.000265781 secondes
Temps pour une étape : 0.000293713 secondes
Temps pour une étape : 0.000365657 secondes
Temps pour une étape : 0.000311289 secondes
Temps pour une étape : 0.000299205 secondes
Temps pour une étape : 0.000317605 secondes
Temps pour une étape : 0.000344321 secondes
Temps pour une étape : 0.000362978 secondes
Temps pour une étape : 0.000370726 secondes
Temps pour une étape : 0.000442449 secondes
Temps pour une étape : 0.000408965 secondes
Temps pour une étape : 0.000498556 secondes
Temps pour une étape : 0.000509182 secondes
Temps pour une étape : 0.000481807 secondes
Temps pour une étape : 0.000505839 secondes
Temps pour une étape : 0.000532156 secondes
Temps pour une étape : 0.000625689 secondes
Temps pour une étape : 0.000569019 secondes
Temps pour une étape : 0.000698016 secondes
Temps pour une étape : 0.000662862 secondes
Temps pour une étape : 0.000894509 secondes
Temps pour une étape : 0.000745994 secondes
Temps pour une étape : 0.000882434 secondes
Temps pour une étape : 0.000766256 secondes
Temps pour une étape : 0.000913959 secondes
Temps pour une étape : 0.000834956 secondes
Temps pour une étape : 0.000820388 secondes
Temps pour une étape : 0.00090575 secondes
Temps pour une étape : 0.0010921 secondes
Temps pour une étape : 0.000955897 secondes
Temps pour une étape : 0.00110567 secondes
Temps pour une étape : 0.000955125 secondes
Temps pour une étape : 0.00112928 secondes
Temps pour une étape : 0.00105749 secondes
Temps pour une étape : 0.00118526 secondes
Temps pour une étape : 0.00114805 secondes
