Log initialized at: 2025-03-14 16:26:29
Part 3 : Test for OpenMP + MPI version + async io
Nombre de threads OpenMP : 7
Temps pour affichage : 0.00746511 secondes
Temps pour affichage : 0.00242744 secondes
Temps pour affichage : 0.00288982 secondes
Temps pour affichage : 0.00233914 secondes
Temps pour affichage : 0.00227222 secondes
Temps pour affichage : 0.00415008 secondes
Temps pour affichage : 0.00241519 secondes
Temps pour affichage : 0.00539762 secondes
Temps pour affichage : 0.00291425 secondes
Temps pour affichage : 0.00269788 secondes
Temps pour affichage : 0.0025705 secondes
Temps pour affichage : 0.00632381 secondes
Temps pour affichage : 0.00592159 secondes
Temps pour affichage : 0.00253081 secondes
Temps pour affichage : 0.00617627 secondes
Temps pour affichage : 0.00341405 secondes
Temps pour affichage : 0.00266223 secondes
Temps pour affichage : 0.00281119 secondes
Temps pour affichage : 0.016663 secondes
Temps pour affichage : 0.00363925 secondes
Temps pour affichage : 0.00284062 secondes
Temps pour affichage : 0.0037512 secondes
Temps pour affichage : 0.00390409 secondes
Temps pour affichage : 0.00398683 secondes
Temps pour affichage : 0.00302167 secondes
Temps pour affichage : 0.00546201 secondes
Temps pour affichage : 0.00436783 secondes
Temps pour affichage : 0.00344887 secondes
Temps pour affichage : 0.00300044 secondes
Temps pour affichage : 0.0031606 secondes
Temps pour affichage : 0.00331314 secondes
Temps pour affichage : 0.00283984 secondes
Temps pour affichage : 0.00291293 secondes
Temps pour affichage : 0.00324255 secondes
Temps pour affichage : 0.00268644 secondes
Temps pour affichage : 0.00262417 secondes
Temps pour affichage : 0.00267465 secondes
Temps pour affichage : 0.0026965 secondes
Temps pour affichage : 0.00255787 secondes
Temps pour affichage : 0.0026304 secondes
Temps pour affichage : 0.00280362 secondes
Temps pour affichage : 0.00260626 secondes
Temps pour affichage : 0.0025762 secondes
Temps pour affichage : 0.00267275 secondes
Temps pour affichage : 0.00258126 secondes
Temps pour affichage : 0.00269538 secondes
Temps pour affichage : 0.00302219 secondes
Temps pour affichage : 0.00643871 secondes
Temps pour affichage : 0.00328384 secondes
Temps pour affichage : 0.00295954 secondes
Temps pour affichage : 0.00313351 secondes
Temps pour affichage : 0.0031111 secondes
Temps pour affichage : 0.00293904 secondes
Temps pour affichage : 0.00285995 secondes
Temps pour affichage : 0.00332735 secondes
Temps pour affichage : 0.00294342 secondes
Temps pour affichage : 0.00294425 secondes
Temps pour affichage : 0.00314352 secondes
Temps pour affichage : 0.00318567 secondes
Temps pour affichage : 0.00349974 secondes
Temps pour affichage : 0.00339107 secondes
Temps pour affichage : 0.00357274 secondes
Temps pour affichage : 0.00360256 secondes
Temps pour affichage : 0.00339362 secondes
Temps pour affichage : 0.00332523 secondes
Temps pour affichage : 0.00330482 secondes
Temps pour affichage : 0.00343653 secondes
Temps pour affichage : 0.00347781 secondes
Temps pour affichage : 0.00346339 secondes
Temps pour affichage : 0.00343504 secondes
Temps pour affichage : 0.00361291 secondes
Temps pour affichage : 0.00635959 secondes
Temps pour affichage : 0.0036993 secondes
Temps pour affichage : 0.00704649 secondes
Temps pour affichage : 0.00651733 secondes
Temps pour affichage : 0.0050092 secondes
Temps pour affichage : 0.00398217 secondes
Temps pour affichage : 0.00534753 secondes
Temps pour affichage : 0.00404248 secondes
Temps pour affichage : 0.00381771 secondes
Temps pour affichage : 0.00462964 secondes
Temps pour affichage : 0.00634735 secondes
Temps pour affichage : 0.00456164 secondes
Temps pour affichage : 0.00442773 secondes
Temps pour affichage : 0.00664198 secondes
Temps pour affichage : 0.00566695 secondes
Temps pour affichage : 0.00479519 secondes
Temps pour affichage : 0.00483704 secondes
Temps pour affichage : 0.00515884 secondes
Temps pour affichage : 0.00540596 secondes
Temps pour affichage : 0.00524161 secondes
Temps pour affichage : 0.00546277 secondes
Temps pour affichage : 0.00531407 secondes
Temps pour affichage : 0.00531396 secondes
Temps pour affichage : 0.00522575 secondes
Temps pour affichage : 0.00589885 secondes
Temps pour affichage : 0.00583744 secondes
Temps pour affichage : 0.00592662 secondes
Temps pour affichage : 0.00588592 secondes
Temps pour affichage : 0.00579727 secondes
Temps pour affichage : 0.00606829 secondes
Temps pour affichage : 0.00642947 secondes
Temps pour affichage : 0.00639455 secondes
Temps pour affichage : 0.00855831 secondes
Temps pour affichage : 0.00586986 secondes
Temps pour affichage : 0.00598028 secondes
Temps pour affichage : 0.00578327 secondes
Temps pour affichage : 0.00661386 secondes
Temps pour affichage : 0.00763074 secondes
Temps pour affichage : 0.00683427 secondes
Temps pour affichage : 0.00636359 secondes
Temps pour affichage : 0.00641944 secondes
Temps pour affichage : 0.00626846 secondes
Temps pour affichage : 0.00615302 secondes
Temps pour affichage : 0.00635144 secondes
Temps pour affichage : 0.00611836 secondes
Temps pour affichage : 0.00614157 secondes
Temps pour affichage : 0.00676868 secondes
Temps pour affichage : 0.0061674 secondes
Temps pour affichage : 0.00753455 secondes
Temps pour affichage : 0.00675939 secondes
Temps pour affichage : 0.0326839 secondes
Temps pour affichage : 0.0136238 secondes
Temps pour affichage : 0.00705806 secondes
Temps pour affichage : 0.0066113 secondes
Temps pour affichage : 0.00628407 secondes
Temps pour affichage : 0.00674177 secondes
Temps pour affichage : 0.00627131 secondes
Temps pour affichage : 0.00759064 secondes
Temps pour affichage : 0.0069325 secondes
Temps pour affichage : 0.00949349 secondes
Temps pour affichage : 0.0106978 secondes
Temps pour affichage : 0.00800238 secondes
Temps pour affichage : 0.00852896 secondes
Temps pour affichage : 0.00838502 secondes
Temps pour affichage : 0.00834307 secondes
Temps pour affichage : 0.00837977 secondes
Temps pour affichage : 0.00801607 secondes
Temps pour affichage : 0.00766921 secondes
Temps pour affichage : 0.00745944 secondes
Temps pour affichage : 0.00782943 secondes
Temps pour affichage : 0.00780815 secondes
Temps pour affichage : 0.00779259 secondes
Temps pour affichage : 0.00798903 secondes
Temps pour affichage : 0.00826989 secondes
Temps pour affichage : 0.00736254 secondes
Temps pour affichage : 0.00796277 secondes
Temps pour affichage : 0.00764107 secondes
Temps pour affichage : 0.00866081 secondes
Temps pour affichage : 0.00777571 secondes
Temps pour affichage : 0.00820185 secondes
Temps pour affichage : 0.00769269 secondes
Temps pour affichage : 0.00833507 secondes
Temps pour affichage : 0.00739394 secondes
Temps pour affichage : 0.00718545 secondes
Temps pour affichage : 0.00762244 secondes
Temps pour affichage : 0.00823834 secondes
Temps pour affichage : 0.00852587 secondes
Temps pour affichage : 0.0075399 secondes
Temps pour affichage : 0.0137853 secondes
Temps pour affichage : 0.00825083 secondes
Temps pour affichage : 0.00768985 secondes
Temps pour affichage : 0.00910171 secondes
Temps pour affichage : 0.00883621 secondes
Temps pour affichage : 0.00856653 secondes
Temps pour affichage : 0.00794594 secondes
Temps pour affichage : 0.00856364 secondes
Temps pour affichage : 0.00841818 secondes
Temps pour affichage : 0.0080212 secondes
Temps pour affichage : 0.00780517 secondes
Temps pour affichage : 0.00852068 secondes
Temps pour affichage : 0.00765954 secondes
Temps pour affichage : 0.00740872 secondes
Temps pour affichage : 0.00795723 secondes
Temps pour affichage : 0.0073953 secondes
Temps pour affichage : 0.00874824 secondes
Temps pour affichage : 0.00818955 secondes
Temps pour affichage : 0.00798362 secondes
Temps pour affichage : 0.00772163 secondes
Temps pour affichage : 0.0077484 secondes
Temps pour affichage : 0.00823268 secondes
Temps pour affichage : 0.00765973 secondes
Temps pour affichage : 0.00863469 secondes
Temps pour affichage : 0.00842916 secondes
Temps pour affichage : 0.00749014 secondes
Temps pour affichage : 0.00898143 secondes
Temps pour affichage : 0.00768945 secondes
Temps pour affichage : 0.00986747 secondes
Temps pour affichage : 0.00792833 secondes
Temps pour affichage : 0.00821291 secondes
Temps pour affichage : 0.00819021 secondes
Temps pour affichage : 0.00801134 secondes
Temps pour affichage : 0.0077772 secondes
