Log initialized at: 2025-03-14 12:35:09
Test for first try of OpenMP optimization
Nombre de coeurs physiques : 32
Temps pour avancement : 0.00777383 secondes
Temps pour affichage : 0.0149795 secondes
Temps pour avancement : 0.00914634 secondes
Temps pour affichage : 0.0124662 secondes
Temps pour avancement : 0.00758602 secondes
Temps pour affichage : 0.0123424 secondes
Temps pour avancement : 0.00907492 secondes
Temps pour affichage : 0.0160772 secondes
Temps pour avancement : 0.0201775 secondes
Temps pour affichage : 0.00898951 secondes
Temps pour avancement : 0.00952791 secondes
Temps pour affichage : 0.0129421 secondes
Temps pour avancement : 0.0182926 secondes
Temps pour affichage : 0.0145481 secondes
Temps pour avancement : 0.00779458 secondes
Temps pour affichage : 0.0153426 secondes
Temps pour avancement : 0.0120585 secondes
Temps pour affichage : 0.0177047 secondes
Temps pour avancement : 0.00791264 secondes
Temps pour affichage : 0.0112399 secondes
Temps pour avancement : 0.0101419 secondes
Temps pour affichage : 0.0141198 secondes
Temps pour avancement : 0.0104814 secondes
Temps pour affichage : 0.00892074 secondes
Temps pour avancement : 0.00832753 secondes
Temps pour affichage : 0.01209 secondes
Temps pour avancement : 0.0123588 secondes
Temps pour affichage : 0.0109241 secondes
Temps pour avancement : 0.00638119 secondes
Temps pour affichage : 0.0119586 secondes
Temps pour avancement : 0.00707605 secondes
Temps pour affichage : 0.0120946 secondes
Temps pour avancement : 0.0144363 secondes
Temps pour affichage : 0.0117342 secondes
Temps pour avancement : 0.00729847 secondes
Temps pour affichage : 0.016571 secondes
Temps pour avancement : 0.00336738 secondes
Temps pour affichage : 0.0102342 secondes
Temps pour avancement : 0.014827 secondes
Temps pour affichage : 0.0160502 secondes
Temps pour avancement : 0.00786712 secondes
Temps pour affichage : 0.0153127 secondes
Sauvegarde des cartes du feu et de la végétation à l'étape 100
Temps pour avancement : 0.0275178 secondes
Temps pour affichage : 0.0118107 secondes
Temps pour avancement : 0.017213 secondes
Temps pour affichage : 0.0119589 secondes
Temps pour avancement : 0.00903546 secondes
Temps pour affichage : 0.0134952 secondes
Temps pour avancement : 0.00345096 secondes
Temps pour affichage : 0.0140875 secondes
Temps pour avancement : 0.0319252 secondes
Temps pour affichage : 0.00904622 secondes
Temps pour avancement : 0.00398224 secondes
Temps pour affichage : 0.0156166 secondes
Temps pour avancement : 0.0164786 secondes
Temps pour affichage : 0.0100358 secondes
Temps pour avancement : 0.00942239 secondes
Temps pour affichage : 0.0156289 secondes
Temps pour avancement : 0.00948164 secondes
Temps pour affichage : 0.0108555 secondes
Temps pour avancement : 0.00678679 secondes
Temps pour affichage : 0.0151861 secondes
Temps pour avancement : 0.0183922 secondes
Temps pour affichage : 0.0115332 secondes
Temps pour avancement : 0.00700054 secondes
Temps pour affichage : 0.0133391 secondes
Temps pour avancement : 0.00983312 secondes
Temps pour affichage : 0.0153655 secondes
Temps pour avancement : 0.00453479 secondes
Temps pour affichage : 0.0118277 secondes
Temps pour avancement : 0.00443825 secondes
Temps pour affichage : 0.0131142 secondes
Temps pour avancement : 0.0103642 secondes
Temps pour affichage : 0.0160828 secondes
Temps pour avancement : 0.00916534 secondes
Temps pour affichage : 0.0127648 secondes
Temps pour avancement : 0.0103403 secondes
Temps pour affichage : 0.016295 secondes
Temps pour avancement : 0.0110208 secondes
Temps pour affichage : 0.0142588 secondes
Temps pour avancement : 0.022891 secondes
Temps pour affichage : 0.0116629 secondes
Temps pour avancement : 0.0128125 secondes
Temps pour affichage : 0.0150187 secondes
Temps pour avancement : 0.00567277 secondes
Temps pour affichage : 0.0181322 secondes
Temps pour avancement : 0.0192488 secondes
Temps pour affichage : 0.0118527 secondes
Temps pour avancement : 0.00555482 secondes
Temps pour affichage : 0.0138677 secondes
Temps pour avancement : 0.0197424 secondes
Temps pour affichage : 0.0147295 secondes
Temps pour avancement : 0.0111595 secondes
Temps pour affichage : 0.0129527 secondes
Temps pour avancement : 0.00614427 secondes
Temps pour affichage : 0.0144079 secondes
Temps pour avancement : 0.0138403 secondes
Temps pour affichage : 0.0155177 secondes
Temps pour avancement : 0.0135247 secondes
Temps pour affichage : 0.0147572 secondes
Temps pour avancement : 0.0124246 secondes
Temps pour affichage : 0.0136396 secondes
Temps pour avancement : 0.0188057 secondes
Temps pour affichage : 0.0151948 secondes
Temps pour avancement : 0.00760283 secondes
Temps pour affichage : 0.014861 secondes
Temps pour avancement : 0.0217157 secondes
Temps pour affichage : 0.0166067 secondes
Temps pour avancement : 0.0136175 secondes
Temps pour affichage : 0.0129221 secondes
Temps pour avancement : 0.0110147 secondes
Temps pour affichage : 0.0154876 secondes
Temps pour avancement : 0.0156125 secondes
Temps pour affichage : 0.0148203 secondes
Temps pour avancement : 0.0210747 secondes
Temps pour affichage : 0.016854 secondes
Temps pour avancement : 0.0130395 secondes
Temps pour affichage : 0.0160339 secondes
Temps pour avancement : 0.0183122 secondes
Temps pour affichage : 0.0134776 secondes
Temps pour avancement : 0.00764147 secondes
Temps pour affichage : 0.0157479 secondes
Temps pour avancement : 0.0209274 secondes
Temps pour affichage : 0.015964 secondes
Temps pour avancement : 0.0134286 secondes
Temps pour affichage : 0.0163201 secondes
Temps pour avancement : 0.00855312 secondes
Temps pour affichage : 0.0159396 secondes
Temps pour avancement : 0.0247992 secondes
Temps pour affichage : 0.0135696 secondes
Temps pour avancement : 0.0134122 secondes
Temps pour affichage : 0.0164011 secondes
Temps pour avancement : 0.0272356 secondes
Temps pour affichage : 0.0162465 secondes
Temps pour avancement : 0.0129901 secondes
Temps pour affichage : 0.0156271 secondes
Temps pour avancement : 0.00793962 secondes
Temps pour affichage : 0.0153984 secondes
Temps pour avancement : 0.0138611 secondes
Temps pour affichage : 0.0164584 secondes
Temps pour avancement : 0.0140579 secondes
Temps pour affichage : 0.0160652 secondes
Temps pour avancement : 0.0220703 secondes
Temps pour affichage : 0.0130257 secondes
Temps pour avancement : 0.0246087 secondes
Temps pour affichage : 0.0149482 secondes
Temps pour avancement : 0.00870873 secondes
Temps pour affichage : 0.0168039 secondes
Temps pour avancement : 0.0142766 secondes
Temps pour affichage : 0.0172424 secondes
Temps pour avancement : 0.00848268 secondes
Temps pour affichage : 0.0159869 secondes
Temps pour avancement : 0.0236024 secondes
Temps pour affichage : 0.0163372 secondes
Temps pour avancement : 0.015036 secondes
Temps pour affichage : 0.0166586 secondes
Temps pour avancement : 0.0136994 secondes
Temps pour affichage : 0.0157469 secondes
Temps pour avancement : 0.0165836 secondes
Temps pour affichage : 0.0133354 secondes
Temps pour avancement : 0.0163165 secondes
Temps pour affichage : 0.0133917 secondes
Temps pour avancement : 0.0153377 secondes
Temps pour affichage : 0.014192 secondes
Temps pour avancement : 0.0240454 secondes
Temps pour affichage : 0.0144607 secondes
Temps pour avancement : 0.0142783 secondes
Temps pour affichage : 0.0164614 secondes
Temps pour avancement : 0.00874536 secondes
Temps pour affichage : 0.0169006 secondes
Temps pour avancement : 0.017672 secondes
Temps pour affichage : 0.0165923 secondes
Temps pour avancement : 0.00900456 secondes
Temps pour affichage : 0.0164827 secondes
Temps pour avancement : 0.0270911 secondes
Temps pour affichage : 0.016746 secondes
Temps pour avancement : 0.0156349 secondes
Temps pour affichage : 0.0182773 secondes
Temps pour avancement : 0.00874036 secondes
Temps pour affichage : 0.0164747 secondes
