Log initialized at: 2025-03-14 16:24:52
Part 3 : Test for OpenMP + MPI version + async io
Nombre de threads OpenMP : 4
Temps pour affichage : 0.00787832 secondes
Temps pour affichage : 0.00914196 secondes
Temps pour affichage : 0.00876601 secondes
Temps pour affichage : 0.00776802 secondes
Temps pour affichage : 0.00791573 secondes
Temps pour affichage : 0.00794766 secondes
Temps pour affichage : 0.00815845 secondes
Temps pour affichage : 0.00827042 secondes
Temps pour affichage : 0.00855671 secondes
Temps pour affichage : 0.00824653 secondes
Temps pour affichage : 0.00842486 secondes
Temps pour affichage : 0.00885401 secondes
Temps pour affichage : 0.00803721 secondes
Temps pour affichage : 0.00819804 secondes
Temps pour affichage : 0.00831037 secondes
Temps pour affichage : 0.00809952 secondes
Temps pour affichage : 0.00826688 secondes
Temps pour affichage : 0.00854759 secondes
Temps pour affichage : 0.00830946 secondes
Temps pour affichage : 0.00806052 secondes
Temps pour affichage : 0.00887335 secondes
Temps pour affichage : 0.00875442 secondes
Temps pour affichage : 0.00782013 secondes
Temps pour affichage : 0.0143861 secondes
Temps pour affichage : 0.00822988 secondes
Temps pour affichage : 0.00791027 secondes
Temps pour affichage : 0.00894518 secondes
Temps pour affichage : 0.00882622 secondes
Temps pour affichage : 0.00758675 secondes
Temps pour affichage : 0.00783583 secondes
Temps pour affichage : 0.00816473 secondes
Temps pour affichage : 0.00899555 secondes
Temps pour affichage : 0.00766598 secondes
Temps pour affichage : 0.00846317 secondes
Temps pour affichage : 0.00814276 secondes
Temps pour affichage : 0.00798252 secondes
Temps pour affichage : 0.0121963 secondes
Temps pour affichage : 0.0172629 secondes
Temps pour affichage : 0.0178699 secondes
Temps pour affichage : 0.0102436 secondes
Temps pour affichage : 0.00878988 secondes
Temps pour affichage : 0.00824379 secondes
Temps pour affichage : 0.00818859 secondes
Temps pour affichage : 0.00815288 secondes
Temps pour affichage : 0.00831063 secondes
Temps pour affichage : 0.00806509 secondes
Temps pour affichage : 0.00870256 secondes
Temps pour affichage : 0.00918279 secondes
Temps pour affichage : 0.00817089 secondes
Temps pour affichage : 0.00760406 secondes
Temps pour affichage : 0.0124352 secondes
Temps pour affichage : 0.00913201 secondes
Temps pour affichage : 0.00836471 secondes
Temps pour affichage : 0.0172616 secondes
Temps pour affichage : 0.00847614 secondes
Temps pour affichage : 0.00781769 secondes
Temps pour affichage : 0.00817404 secondes
Temps pour affichage : 0.0112758 secondes
Temps pour affichage : 0.00831087 secondes
Temps pour affichage : 0.00757456 secondes
Temps pour affichage : 0.0110567 secondes
Temps pour affichage : 0.00851946 secondes
Temps pour affichage : 0.00763637 secondes
Temps pour affichage : 0.00846476 secondes
Temps pour affichage : 0.00826136 secondes
Temps pour affichage : 0.00852269 secondes
Temps pour affichage : 0.0113548 secondes
Temps pour affichage : 0.00786674 secondes
Temps pour affichage : 0.0079547 secondes
Temps pour affichage : 0.00759334 secondes
Temps pour affichage : 0.00774613 secondes
Temps pour affichage : 0.0200339 secondes
Temps pour affichage : 0.00827522 secondes
Temps pour affichage : 0.00848286 secondes
Temps pour affichage : 0.00781184 secondes
Temps pour affichage : 0.00758037 secondes
Temps pour affichage : 0.00863966 secondes
Temps pour affichage : 0.00835455 secondes
Temps pour affichage : 0.00841441 secondes
Temps pour affichage : 0.00800121 secondes
Temps pour affichage : 0.00902185 secondes
Temps pour affichage : 0.00874933 secondes
Temps pour affichage : 0.0082877 secondes
Temps pour affichage : 0.0086387 secondes
Temps pour affichage : 0.00991103 secondes
Temps pour affichage : 0.00836662 secondes
Temps pour affichage : 0.00860028 secondes
Temps pour affichage : 0.00824782 secondes
Temps pour affichage : 0.00854212 secondes
Temps pour affichage : 0.00887329 secondes
Temps pour affichage : 0.00932352 secondes
Temps pour affichage : 0.00840098 secondes
Temps pour affichage : 0.00784391 secondes
Temps pour affichage : 0.00766073 secondes
Temps pour affichage : 0.00867777 secondes
Temps pour affichage : 0.00863397 secondes
Temps pour affichage : 0.00824668 secondes
Temps pour affichage : 0.00819161 secondes
Temps pour affichage : 0.00828319 secondes
Temps pour affichage : 0.00760268 secondes
Temps pour affichage : 0.0078352 secondes
Temps pour affichage : 0.00908931 secondes
Temps pour affichage : 0.00851782 secondes
Temps pour affichage : 0.00795553 secondes
Temps pour affichage : 0.00826579 secondes
Temps pour affichage : 0.00852388 secondes
Temps pour affichage : 0.00779233 secondes
Temps pour affichage : 0.00813941 secondes
Temps pour affichage : 0.0085691 secondes
Temps pour affichage : 0.00779003 secondes
Temps pour affichage : 0.00794673 secondes
Temps pour affichage : 0.00869156 secondes
Temps pour affichage : 0.00817638 secondes
Temps pour affichage : 0.00773237 secondes
Temps pour affichage : 0.00799356 secondes
Temps pour affichage : 0.00810398 secondes
Temps pour affichage : 0.0081377 secondes
Temps pour affichage : 0.00900125 secondes
Temps pour affichage : 0.00926529 secondes
Temps pour affichage : 0.00877202 secondes
Temps pour affichage : 0.00911895 secondes
Temps pour affichage : 0.0116602 secondes
Temps pour affichage : 0.00822816 secondes
Temps pour affichage : 0.00762897 secondes
Temps pour affichage : 0.00919348 secondes
Temps pour affichage : 0.00897228 secondes
Temps pour affichage : 0.00801446 secondes
Temps pour affichage : 0.00785838 secondes
Temps pour affichage : 0.00811219 secondes
Temps pour affichage : 0.00775565 secondes
Temps pour affichage : 0.00881167 secondes
Temps pour affichage : 0.0459852 secondes
Temps pour affichage : 0.0087062 secondes
Temps pour affichage : 0.00793402 secondes
Temps pour affichage : 0.0165965 secondes
Temps pour affichage : 0.00841038 secondes
Temps pour affichage : 0.00762139 secondes
Temps pour affichage : 0.0079776 secondes
Temps pour affichage : 0.00877188 secondes
Temps pour affichage : 0.00865565 secondes
Temps pour affichage : 0.00897304 secondes
Temps pour affichage : 0.00935019 secondes
Temps pour affichage : 0.00754078 secondes
Temps pour affichage : 0.00750849 secondes
Temps pour affichage : 0.0074629 secondes
Temps pour affichage : 0.00808443 secondes
Temps pour affichage : 0.00768335 secondes
Temps pour affichage : 0.00789761 secondes
Temps pour affichage : 0.00805715 secondes
Temps pour affichage : 0.00765813 secondes
Temps pour affichage : 0.00752998 secondes
Temps pour affichage : 0.00747653 secondes
Temps pour affichage : 0.00906054 secondes
Temps pour affichage : 0.00769086 secondes
Temps pour affichage : 0.00841019 secondes
Temps pour affichage : 0.00948757 secondes
Temps pour affichage : 0.00791371 secondes
Temps pour affichage : 0.00792964 secondes
Temps pour affichage : 0.00783372 secondes
Temps pour affichage : 0.00876972 secondes
Temps pour affichage : 0.00829374 secondes
Temps pour affichage : 0.00762984 secondes
Temps pour affichage : 0.00743059 secondes
Temps pour affichage : 0.00789089 secondes
Temps pour affichage : 0.00741289 secondes
Temps pour affichage : 0.00737303 secondes
Temps pour affichage : 0.0085392 secondes
Temps pour affichage : 0.00752563 secondes
Temps pour affichage : 0.00748906 secondes
Temps pour affichage : 0.00803959 secondes
Temps pour affichage : 0.00782243 secondes
Temps pour affichage : 0.00759103 secondes
Temps pour affichage : 0.00690833 secondes
Temps pour affichage : 0.0074128 secondes
Temps pour affichage : 0.00796469 secondes
Temps pour affichage : 0.0074998 secondes
Temps pour affichage : 0.00720469 secondes
Temps pour affichage : 0.00728643 secondes
Temps pour affichage : 0.00797272 secondes
Temps pour affichage : 0.0107201 secondes
Temps pour affichage : 0.00868721 secondes
Temps pour affichage : 0.00762234 secondes
Temps pour affichage : 0.00741206 secondes
Temps pour affichage : 0.00916512 secondes
Temps pour affichage : 0.00847464 secondes
Temps pour affichage : 0.00728147 secondes
Temps pour affichage : 0.00773724 secondes
Temps pour affichage : 0.00670173 secondes
Temps pour affichage : 0.00707638 secondes
Temps pour affichage : 0.00745955 secondes
Temps pour affichage : 0.0124496 secondes
Temps pour affichage : 0.0100961 secondes
Temps pour affichage : 0.00679597 secondes
Temps pour affichage : 0.0068892 secondes
Temps pour affichage : 0.00694249 secondes
Temps pour affichage : 0.00729637 secondes
Temps pour affichage : 0.00699292 secondes
Temps pour affichage : 0.0069378 secondes
Temps pour affichage : 0.00682145 secondes
Temps pour affichage : 0.00643715 secondes
Temps pour affichage : 0.0075716 secondes
Temps pour affichage : 0.00781088 secondes
Temps pour affichage : 0.00710396 secondes
Temps pour affichage : 0.00674216 secondes
Temps pour affichage : 0.00616457 secondes
Temps pour affichage : 0.00679336 secondes
Temps pour affichage : 0.00640597 secondes
Temps pour affichage : 0.00615236 secondes
Temps pour affichage : 0.00703944 secondes
Temps pour affichage : 0.00644459 secondes
Temps pour affichage : 0.00595246 secondes
Temps pour affichage : 0.00722682 secondes
Temps pour affichage : 0.00758526 secondes
Temps pour affichage : 0.0100415 secondes
Temps pour affichage : 0.00733 secondes
Temps pour affichage : 0.0101466 secondes
Temps pour affichage : 0.011784 secondes
Temps pour affichage : 0.00610305 secondes
Temps pour affichage : 0.00537308 secondes
Temps pour affichage : 0.00538818 secondes
Temps pour affichage : 0.0055633 secondes
Temps pour affichage : 0.00576338 secondes
Temps pour affichage : 0.00687284 secondes
Temps pour affichage : 0.00578237 secondes
Temps pour affichage : 0.00554556 secondes
Temps pour affichage : 0.00498894 secondes
Temps pour affichage : 0.00487228 secondes
Temps pour affichage : 0.00473279 secondes
Temps pour affichage : 0.00452942 secondes
Temps pour affichage : 0.00464004 secondes
Temps pour affichage : 0.0048147 secondes
Temps pour affichage : 0.00460178 secondes
Temps pour affichage : 0.00514098 secondes
Temps pour affichage : 0.00974524 secondes
Temps pour affichage : 0.00634743 secondes
Temps pour affichage : 0.00477761 secondes
Temps pour affichage : 0.00822881 secondes
Temps pour affichage : 0.00545614 secondes
Temps pour affichage : 0.00485739 secondes
Temps pour affichage : 0.0044275 secondes
Temps pour affichage : 0.00527459 secondes
Temps pour affichage : 0.00403611 secondes
Temps pour affichage : 0.00449119 secondes
Temps pour affichage : 0.00404461 secondes
Temps pour affichage : 0.0039607 secondes
Temps pour affichage : 0.00610301 secondes
Temps pour affichage : 0.00408542 secondes
Temps pour affichage : 0.00392864 secondes
Temps pour affichage : 0.00766424 secondes
Temps pour affichage : 0.003551 secondes
Temps pour affichage : 0.00350003 secondes
Temps pour affichage : 0.00394064 secondes
Temps pour affichage : 0.00341732 secondes
Temps pour affichage : 0.00328498 secondes
Temps pour affichage : 0.00376103 secondes
Temps pour affichage : 0.00354145 secondes
Temps pour affichage : 0.0045267 secondes
Temps pour affichage : 0.00439736 secondes
Temps pour affichage : 0.0039751 secondes
Temps pour affichage : 0.00410929 secondes
Temps pour affichage : 0.00434371 secondes
Temps pour affichage : 0.00345532 secondes
Temps pour affichage : 0.00793207 secondes
Temps pour affichage : 0.00370188 secondes
Temps pour affichage : 0.00349672 secondes
Temps pour affichage : 0.00340739 secondes
Temps pour affichage : 0.00318138 secondes
Temps pour affichage : 0.00361591 secondes
Temps pour affichage : 0.00344643 secondes
Temps pour affichage : 0.00301248 secondes
Temps pour affichage : 0.00319281 secondes
Temps pour affichage : 0.00283298 secondes
Temps pour affichage : 0.00292301 secondes
Temps pour affichage : 0.00355832 secondes
Temps pour affichage : 0.00391258 secondes
Temps pour affichage : 0.0033739 secondes
Temps pour affichage : 0.00300838 secondes
Temps pour affichage : 0.00676932 secondes
Temps pour affichage : 0.0030422 secondes
Temps pour affichage : 0.00284404 secondes
Temps pour affichage : 0.00299478 secondes
Temps pour affichage : 0.00312841 secondes
Temps pour affichage : 0.0029322 secondes
Temps pour affichage : 0.00347037 secondes
Temps pour affichage : 0.00296512 secondes
Temps pour affichage : 0.00275233 secondes
Temps pour affichage : 0.00263145 secondes
Temps pour affichage : 0.00316241 secondes
Temps pour affichage : 0.00282986 secondes
Temps pour affichage : 0.0026275 secondes
Temps pour affichage : 0.00305168 secondes
Temps pour affichage : 0.00326021 secondes
Temps pour affichage : 0.00258306 secondes
Temps pour affichage : 0.00298373 secondes
Temps pour affichage : 0.00298641 secondes
Temps pour affichage : 0.0030586 secondes
Temps pour affichage : 0.00290495 secondes
Temps pour affichage : 0.00303589 secondes
Temps pour affichage : 0.00334829 secondes
Temps pour affichage : 0.00280011 secondes
Temps pour affichage : 0.00284382 secondes
Temps pour affichage : 0.00276347 secondes
Temps pour affichage : 0.00284396 secondes
Temps pour affichage : 0.00264103 secondes
Temps pour affichage : 0.00334856 secondes
Temps pour affichage : 0.0092934 secondes
Temps pour affichage : 0.00287491 secondes
Temps pour affichage : 0.00308181 secondes
Temps pour affichage : 0.00284655 secondes
Temps pour affichage : 0.00338271 secondes
Temps pour affichage : 0.0027172 secondes
Temps pour affichage : 0.00312027 secondes
Temps pour affichage : 0.00294912 secondes
Temps pour affichage : 0.00381194 secondes
Temps pour affichage : 0.00316456 secondes
Temps pour affichage : 0.00291116 secondes
Temps pour affichage : 0.00263748 secondes
Temps pour affichage : 0.0031178 secondes
Temps pour affichage : 0.00259395 secondes
Temps pour affichage : 0.00279411 secondes
Temps pour affichage : 0.00241581 secondes
Temps pour affichage : 0.00599656 secondes
Temps pour affichage : 0.00480336 secondes
Temps pour affichage : 0.0062977 secondes
Temps pour affichage : 0.00601922 secondes
Temps pour affichage : 0.00269844 secondes
Temps pour affichage : 0.00720297 secondes
Temps pour affichage : 0.00608368 secondes
Temps pour affichage : 0.00261544 secondes
Temps pour affichage : 0.00292388 secondes
Temps pour affichage : 0.00275798 secondes
Temps pour affichage : 0.00278682 secondes
Temps pour affichage : 0.00258275 secondes
Temps pour affichage : 0.00229206 secondes
Temps pour affichage : 0.00510574 secondes
Temps pour affichage : 0.00252638 secondes
Temps pour affichage : 0.0025082 secondes
Temps pour affichage : 0.00283904 secondes
Temps pour affichage : 0.00304509 secondes
Temps pour affichage : 0.00275823 secondes
Temps pour affichage : 0.00255327 secondes
Temps pour affichage : 0.00254083 secondes
Temps pour affichage : 0.00247138 secondes
Temps pour affichage : 0.00262596 secondes
Temps pour affichage : 0.00637618 secondes
Temps pour affichage : 0.00263751 secondes
Temps pour affichage : 0.00246673 secondes
Temps pour affichage : 0.00255276 secondes
Temps pour affichage : 0.00304477 secondes
Temps pour affichage : 0.00255438 secondes
Temps pour affichage : 0.00254153 secondes
Temps pour affichage : 0.00263654 secondes
Temps pour affichage : 0.00263273 secondes
Temps pour affichage : 0.00250291 secondes
Temps pour affichage : 0.00261516 secondes
Temps pour affichage : 0.00305972 secondes
Temps pour affichage : 0.00264397 secondes
Temps pour affichage : 0.00284817 secondes
Temps pour affichage : 0.00268425 secondes
Temps pour affichage : 0.00284418 secondes
Temps pour affichage : 0.0026166 secondes
Temps pour affichage : 0.00262682 secondes
Temps pour affichage : 0.00314672 secondes
Temps pour affichage : 0.048786 secondes
Temps pour affichage : 0.00422089 secondes
Temps pour affichage : 0.00337224 secondes
Temps pour affichage : 0.00384912 secondes
Temps pour affichage : 0.00348409 secondes
Temps pour affichage : 0.00312246 secondes
