Log initialized at: 2025-03-14 16:24:18
Part 3 : Test for OpenMP + MPI version + async io
Nombre de threads OpenMP : 3
Temps pour affichage : 0.00753944 secondes
Temps pour affichage : 0.00227339 secondes
Temps pour affichage : 0.00276424 secondes
Temps pour affichage : 0.00246972 secondes
Temps pour affichage : 0.00675629 secondes
Temps pour affichage : 0.00411841 secondes
Temps pour affichage : 0.0055486 secondes
Temps pour affichage : 0.00380991 secondes
Temps pour affichage : 0.00663194 secondes
Temps pour affichage : 0.00379925 secondes
Temps pour affichage : 0.00524294 secondes
Temps pour affichage : 0.00355906 secondes
Temps pour affichage : 0.00985339 secondes
Temps pour affichage : 0.00447029 secondes
Temps pour affichage : 0.00360613 secondes
Temps pour affichage : 0.0068393 secondes
Temps pour affichage : 0.00354494 secondes
Temps pour affichage : 0.00318611 secondes
Temps pour affichage : 0.00427345 secondes
Temps pour affichage : 0.00305926 secondes
Temps pour affichage : 0.00347379 secondes
Temps pour affichage : 0.00289948 secondes
Temps pour affichage : 0.00333362 secondes
Temps pour affichage : 0.00315948 secondes
Temps pour affichage : 0.00388517 secondes
Temps pour affichage : 0.00326116 secondes
Temps pour affichage : 0.00293806 secondes
Temps pour affichage : 0.00252242 secondes
Temps pour affichage : 0.00240727 secondes
Temps pour affichage : 0.0064052 secondes
Temps pour affichage : 0.00598047 secondes
Temps pour affichage : 0.00614951 secondes
Temps pour affichage : 0.00283162 secondes
Temps pour affichage : 0.00301526 secondes
Temps pour affichage : 0.00612935 secondes
Temps pour affichage : 0.0149245 secondes
Temps pour affichage : 0.00377781 secondes
Temps pour affichage : 0.00244271 secondes
Temps pour affichage : 0.00254639 secondes
Temps pour affichage : 0.00336304 secondes
Temps pour affichage : 0.00257118 secondes
Temps pour affichage : 0.0038654 secondes
Temps pour affichage : 0.00686944 secondes
Temps pour affichage : 0.00274491 secondes
Temps pour affichage : 0.00627014 secondes
Temps pour affichage : 0.00310507 secondes
Temps pour affichage : 0.00681686 secondes
