Log initialized at: 2025-03-09 09:25:08
Test for MPI with 2 threads
Temps pour une étape : 0.0057135 secondes
Temps pour une étape : 0.00608051 secondes
Temps pour une étape : 0.00549781 secondes
Temps pour une étape : 0.00625803 secondes
Temps pour une étape : 0.00567512 secondes
Temps pour une étape : 0.00576981 secondes
Temps pour une étape : 0.00602594 secondes
Temps pour une étape : 0.00559598 secondes
Temps pour une étape : 0.00588135 secondes
Temps pour une étape : 0.00602348 secondes
Temps pour une étape : 0.00635511 secondes
Temps pour une étape : 0.00623033 secondes
Temps pour une étape : 0.00609509 secondes
Temps pour une étape : 0.00537149 secondes
Temps pour une étape : 0.00623859 secondes
Temps pour une étape : 0.00580598 secondes
Temps pour une étape : 0.00601049 secondes
Temps pour une étape : 0.00683002 secondes
Temps pour une étape : 0.006012 secondes
Temps pour une étape : 0.00553111 secondes
Temps pour une étape : 0.00621708 secondes
Temps pour une étape : 0.00573322 secondes
Temps pour une étape : 0.00610829 secondes
Temps pour une étape : 0.00520255 secondes
Temps pour une étape : 0.00637331 secondes
Temps pour une étape : 0.00596572 secondes
Temps pour une étape : 0.00732039 secondes
Temps pour une étape : 0.00576278 secondes
Temps pour une étape : 0.00562641 secondes
Temps pour une étape : 0.00582291 secondes
Temps pour une étape : 0.00584591 secondes
Temps pour une étape : 0.00565633 secondes
Temps pour une étape : 0.00561935 secondes
Temps pour une étape : 0.00633572 secondes
Temps pour une étape : 0.00665256 secondes
Temps pour une étape : 0.00541686 secondes
Temps pour une étape : 0.0053003 secondes
Temps pour une étape : 0.00532792 secondes
Temps pour une étape : 0.00507343 secondes
Temps pour une étape : 0.00526852 secondes
Temps pour une étape : 0.00546065 secondes
Temps pour une étape : 0.00539864 secondes
Temps pour une étape : 0.00555672 secondes
Temps pour une étape : 0.00577664 secondes
Temps pour une étape : 0.00540681 secondes
Temps pour une étape : 0.00572951 secondes
Temps pour une étape : 0.00601258 secondes
Temps pour une étape : 0.00562258 secondes
Temps pour une étape : 0.00562992 secondes
Temps pour une étape : 0.00561482 secondes
